refseq id	virus family	virus tax id	virus name	virus host	host name	virus genus	virus genome type
NC_034440	Coronaviridae	1508220	Bat coronavirus	Mammalia	Eidolon helvum	unclassified Coronavirinaevirus	ssRNA(+)
NC_003836	Bromoviridae	12315	Tomato aspermy virus	Viridiplantae	Solanum lycopersicum	Cucumovirus	ssRNA(+)
NC_003693	Secoviridae	191547	Beet ringspot virus	Viridiplantae	Vitis	Nepovirus	ssRNA(+)
NC_015492	Secoviridae	748667	Grapevine Bulgarian latent virus	Viridiplantae	Vitis vinifera	Nepovirus	ssRNA(+)
NC_011808	Bromoviridae	39681	Asparagus virus 2	Viridiplantae	Asparagus officinalis	Ilarvirus	ssRNA(+)
NC_029036	Secoviridae	1476584	Currant latent virus	Viridiplantae	Ribes rubrum	Cheravirus	ssRNA(+)
NC_043642	Phasmaviridae	1931095	Ganda bee virus	Insecta	Osmia cornuta	Orthophasmavirus	ssRNA(-)
AM235750	Picornaviridae	362784	Human parechovirus 4	Mammalia	Homo sapiens	Parechovirus	ssRNA(+)
NC_007559	Reoviridae	352248	Operophtera brumata reovirus	Insecta	Operophtera brumata	unclassified Reoviralesvirus	dsRNA
NC_025479	Secoviridae	1425364	Carrot torradovirus 1	Viridiplantae	Daucus carota	Torradovirus	ssRNA(+)
NC_040416	Secoviridae	2170039	Potato virus U	Viridiplantae	Solanum tuberosum	Nepovirus	ssRNA(+)
NC_038745	Phasmaviridae	1980540	Nome phantom orthophasmavirus	Insecta	Chaoborus	Orthophasmavirus	ssRNA(-)
NC_040389	Bromoviridae	2052851	Sambucus virus S	Viridiplantae	Sambucus nigra	Bromovirus	ssRNA(+)
NC_031763	Secoviridae	2170181	Dioscorea mosaic associated virus	Viridiplantae	Dioscorea cayenensis subsp. rotundata	Sadwavirus	ssRNA(+)
NC_003833	Bromoviridae	151043	Tulare apple mosaic virus	Viridiplantae	Cucumis sativus	Ilarvirus	ssRNA(+)
NC_003615	Secoviridae	12274	Grapevine fanleaf virus	Viridiplantae	Vitis vinifera	Nepovirus	ssRNA(+)
NC_023420	Reoviridae	1427476	Cimodo virus	Insecta	Aedes albopictus	unclassified Reoviralesvirus	dsRNA
NC_039072	Secoviridae	1849838	Grapevine fabavirus	Viridiplantae	Vitis vinifera	Fabavirus	ssRNA(+)
NC_025477	Bromoviridae	722755	Lilac leaf chlorosis virus	Viridiplantae	Syringa vulgaris	Ilarvirus	ssRNA(+)
NC_043684	Secoviridae	46075	Artichoke Italian latent virus	Viridiplantae	Lamium amplexicaule	Nepovirus	ssRNA(+)
NC_006271	Secoviridae	202566	Cherry rasp leaf virus	Viridiplantae	Malus domestica	Cheravirus	ssRNA(+)
NC_040392	Bromoviridae	2116599	Cape gooseberry ilarvirus 1	Viridiplantae	Physalis peruviana	Ilarvirus	ssRNA(+)
NC_039074	Bromoviridae	1637492	Tomato necrotic streak virus	Viridiplantae	Solanum lycopersicum	Ilarvirus	ssRNA(+)
NC_035215	Secoviridae	1810396	Squash chlorotic leaf spot virus	Viridiplantae	Cucurbita	Torradovirus	ssRNA(+)
NC_038706	Phasmaviridae	1664809	Jonchet virus	Insecta	Culex	Jonvirus	ssRNA(-)
NC_003544	Secoviridae	12261	Cowpea severe mosaic virus	Viridiplantae	Vigna unguiculata	Comovirus	ssRNA(+)
NC_009013	Secoviridae	370833	Tomato torrado virus	Viridiplantae	Capsicum annuum	Torradovirus	ssRNA(+)
NC_011558	Rhabdoviridae	1985698	Varicosavirus lactucae	Viridiplantae	Lactuca sativa	Varicosavirus	ssRNA(-)
NC_010415	Picornaviridae	1330521	Enterovirus J	Mammalia	Chlorocebus aethiops	Enterovirus	ssRNA(+)
NC_003445	Secoviridae	167161	Strawberry mottle virus	Viridiplantae	Fragaria vesca	Sadwavirus	ssRNA(+)
NC_003482	Potyviridae	12466	Barley mild mosaic virus	Viridiplantae	Hordeum vulgare	Bymovirus	ssRNA(+)
NC_038755	Rhabdoviridae	745716	Coffee ringspot virus	Viridiplantae	Nicotiana benthamiana	Dichorhavirus	ssRNA(-)
NC_002026	Bromoviridae	12302	Brome mosaic virus	Viridiplantae	Bromus inermis	Bromovirus	ssRNA(+)
NC_004169	Birnaviridae	48981	Drosophila X virus	Insecta	Drosophila melanogaster	Entomobirnavirus	dsRNA
NC_013218	Secoviridae	392504	Turnip ringspot virus	Viridiplantae	Brassica rapa subsp. rapa	Comovirus	ssRNA(+)
NC_027802	Reoviridae	1640277	Grapevine Cabernet Sauvignon reovirus	Viridiplantae	Vitis vinifera	unclassified Reoviralesvirus	dsRNA
NC_043038	Phasmaviridae	1608076	Shuangao Insect Virus 2	Insecta	Abraxas	Inshuvirus	ssRNA(-)
NC_002990	Potyviridae	12465	Barley yellow mosaic virus	Viridiplantae	Hordeum vulgare	Bymovirus	ssRNA(+)
NC_033492	Secoviridae	1935922	Petunia chlorotic mottle virus	Viridiplantae	Petunia x hybrida	Nepovirus	ssRNA(+)
AF311939	Picornaviridae	12073	Coxsackievirus B4	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
NC_001495	Bromoviridae	12321	Alfalfa mosaic virus	Viridiplantae	Cicer arietinum	Alfamovirus	ssRNA(+)
NC_023016	Secoviridae	1432135	Lamium mild mosaic virus	Viridiplantae	Lamium album	Fabavirus	ssRNA(+)
NC_013266	Bromoviridae	545259	Melandrium yellow fleck virus	Viridiplantae	Silene	Bromovirus	ssRNA(+)
NC_015414	Secoviridae	12615	Cherry leaf roll virus	Viridiplantae	Rheum	Nepovirus	ssRNA(+)
NC_011189	Secoviridae	487492	Mikania micrantha mosaic virus	Viridiplantae	Mikania micrantha	Fabavirus	ssRNA(+)
NC_011553	Bromoviridae	339420	Blackberry chlorotic ringspot virus	Viridiplantae	Fragaria	Ilarvirus	ssRNA(+)
NC_008037	Bromoviridae	33760	Prune dwarf virus	Viridiplantae	Prunus	Ilarvirus	ssRNA(+)
NC_003839	Secoviridae	12280	Tomato ringspot virus	Viridiplantae	Prunus	Nepovirus	ssRNA(+)
NC_028139	Secoviridae	128790	Bean rugose mosaic virus	Viridiplantae	Glycine max	Comovirus	ssRNA(+)
NC_052230	Rhabdoviridae	1956177	Citrus leprosis virus N	Viridiplantae	Citrus sinensis	Dichorhavirus	ssRNA(-)
NC_003451	Bromoviridae	134632	American plum line pattern virus	Viridiplantae	Prunus salicina	Ilarvirus	ssRNA(+)
NC_006566	Bromoviridae	255238	Fragaria chiloensis latent virus	Viridiplantae	Fragaria chiloensis	Ilarvirus	ssRNA(+)
NC_005289	Secoviridae	50817	Broad bean wilt virus 1	Viridiplantae	Spinacia oleracea	Fabavirus	ssRNA(+)
NC_001440	Bromoviridae	12305	Cucumber mosaic virus	Viridiplantae	Cucumis melo	Cucumovirus	ssRNA(+)
NC_016443	Secoviridae	1120751	Chocolate lily virus A	Viridiplantae	Dichopogon	Sadwavirus	ssRNA(+)
NC_020897	Secoviridae	257463	Arracacha virus B	Viridiplantae	Oxalis tuberosa	Cheravirus	ssRNA(+)
NC_008182	Secoviridae	367301	Black raspberry necrosis virus	Viridiplantae	Vigna unguiculata	Sadwavirus	ssRNA(+)
NC_032107	Coronaviridae	1920748	NL63-related bat coronavirus	Mammalia	Triaenops afer	Alphacoronavirus	ssRNA(+)
AF241359	Picornaviridae	200154	Enterovirus B73	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
NC_014598	Reoviridae	907191	Raspberry latent virus	Viridiplantae	Rubus	unclassified Reoviralesvirus	dsRNA
NC_004362	Bromoviridae	37733	Prunus necrotic ringspot virus	Viridiplantae	Cucumis sativus	Ilarvirus	ssRNA(+)
NC_003791	Secoviridae	173976	Cycas necrotic stunt virus	Viridiplantae	Cycas revoluta	Nepovirus	ssRNA(+)
NC_030750	Phasmaviridae	1608107	Wuhan Insect virus 2	Insecta	Hyalopterus pruni	Wuhivirus	ssRNA(-)
NC_027926	Secoviridae	1481465	Tomato necrotic dwarf virus	Viridiplantae	Solanum lycopersicum	Torradovirus	ssRNA(+)
NC_003808	Bromoviridae	42680	Spinach latent virus	Viridiplantae	Spinacia oleracea	Ilarvirus	ssRNA(+)
NC_004006	Bromoviridae	12301	Broad bean mottle virus	Viridiplantae	Cicer arietinum	Bromovirus	ssRNA(+)
NC_003003	Secoviridae	76875	Broad bean wilt virus 2	Viridiplantae	Megaskepasma erythrochlamys	Fabavirus	ssRNA(+)
NC_016874	Reoviridae	1004049	Spissistilus festinus reovirus	Insecta	Spissistilus festinus	unclassified Reoviralesvirus	dsRNA
NC_018383	Secoviridae	223769	Grapevine Anatolian ringspot virus	Viridiplantae	Vitis vinifera	Nepovirus	ssRNA(+)
NC_008706	Bromoviridae	243563	Strawberry necrotic shock virus	Viridiplantae	Fragaria	Ilarvirus	ssRNA(+)
NC_003842	Bromoviridae	12317	Tobacco streak virus	Viridiplantae	Glycine max	Ilarvirus	ssRNA(+)
NC_055208	Rhabdoviridae	1980624	Citrus chlorotic spot virus	Viridiplantae	Citrus sinensis	Dichorhavirus	ssRNA(-)
NC_009608	Rhabdoviridae	152177	Dichorhavirus orchidaceae	Viridiplantae	Cymbidium	Dichorhavirus	ssRNA(-)
NC_022127	Bromoviridae	2755028	Ageratum latent virus 1998	Viridiplantae	Ageratum houstonianum	Ilarvirus	ssRNA(+)
NC_006999	Bromoviridae	300879	Cassia yellow blotch virus	Viridiplantae	Arabidopsis thaliana	Bromovirus	ssRNA(+)
NC_005096	Secoviridae	12282	Tobacco ringspot virus	Viridiplantae	Portulaca	Nepovirus	ssRNA(+)
NC_028144	Potyviridae	59500	Rice necrosis mosaic virus	Viridiplantae	Oryza sativa	Bymovirus	ssRNA(+)
NC_034214	Secoviridae	65068	Peach rosette mosaic virus	Viridiplantae	Vitis	Nepovirus	ssRNA(+)
NC_055290	Rhabdoviridae	1406950	North Creek virus	Insecta	Culex sitiens	Ohlsrhavirus	ssRNA(-)
NC_003464	Bromoviridae	12319	Apple mosaic virus	Viridiplantae	Betula	Ilarvirus	ssRNA(+)
NC_003787	Secoviridae	101688	Apple latent spherical virus	Viridiplantae	Malus domestica	Cheravirus	ssRNA(+)
NC_027928	Bromoviridae	2169960	Privet ringspot virus	Viridiplantae	Ligustrum japonicum	Ilarvirus	ssRNA(+)
NC_003785	Secoviridae	47416	Satsuma dwarf virus	Viridiplantae	Citrus sinensis	Sadwavirus	ssRNA(+)
AJ276479	Bromoviridae	255721	Cucumber mosaic virus (strain Mf)	Viridiplantae	Silene firma	Cucumovirus	ssRNA(+)
NC_006064	Bromoviridae	269213	Humulus japonicus latent virus	Viridiplantae	Humulus japonicus	Ilarvirus	ssRNA(+)
NC_038763	Secoviridae	1071488	Blueberry latent spherical virus	Viridiplantae	Luffa aegyptiaca	Nepovirus	ssRNA(+)
NC_038761	Secoviridae	1962503	Aeonium ringspot virus	Viridiplantae	Nicotiana benthamiana	Nepovirus	ssRNA(+)
AY685920	Paramyxoviridae	301186	Mumps virus strain L-Zagreb	Mammalia	Homo sapiens	Orthorubulavirus	ssRNA(-)
HF585099	Potyviridae	587197	Plum pox virus strain Marcus	Viridiplantae	Prunus domestica	Potyvirus	ssRNA(+)
NC_040399	Secoviridae	2058094	Red clover nepovirus A	Viridiplantae	Trifolium pratense	Nepovirus	ssRNA(+)
NC_004439	Secoviridae	12275	Tomato black ring virus	Viridiplantae	Vitis sp.	Nepovirus	ssRNA(+)
NC_035214	Secoviridae	1358807	Lettuce necrotic leaf curl virus	Viridiplantae	Lactuca sativa	Torradovirus	ssRNA(+)
NC_035218	Secoviridae	1561160	Motherwort yellow mottle virus	Viridiplantae	Leonurus sibiricus	Torradovirus	ssRNA(+)
NC_038767	Secoviridae	1527441	Mulberry mosaic leaf roll associated virus	Viridiplantae	Morus alba	Nepovirus	ssRNA(+)
NC_004016	Potyviridae	157837	Oat mosaic virus	Viridiplantae	Avena sativa	Bymovirus	ssRNA(+)
NC_004142	Nodaviridae	12286	Boolarra virus	Insecta	Drosophila melanogaster	Alphanodavirus	ssRNA(+)
NC_003621	Secoviridae	12273	Grapevine chrome mosaic virus	Viridiplantae	Apium graveolens	Nepovirus	ssRNA(+)
NC_003691	Nodaviridae	103782	Pariacoto virus	Insecta	Spodoptera eridania	Alphanodavirus	ssRNA(+)
NC_003546	Bromoviridae	37126	Citrus leaf rugose virus	Viridiplantae	Citrus	Ilarvirus	ssRNA(+)
NC_003649	Bromoviridae	116056	Pelargonium zonate spot virus	Viridiplantae	Diplotaxis erucoides	Anulavirus	ssRNA(+)
NC_040507	Potyviridae	35285	Wheat spindle streak mosaic virus	Viridiplantae	Triticum aestivum	Bymovirus	ssRNA(+)
NC_005266	Secoviridae	12809	Raspberry ringspot virus	Viridiplantae	Vitis vinifera	Nepovirus	ssRNA(+)
NC_043648	Rhabdoviridae	1064520	Clerodendrum chlorotic spot virus	Viridiplantae	Clerodendrum	Dichorhavirus	ssRNA(-)
NC_040469	Bromoviridae	1779339	Apple necrotic mosaic virus	Viridiplantae	Malus domestica	Ilarvirus	ssRNA(+)
NC_010709	Secoviridae	328061	Radish mosaic virus	Viridiplantae	Brassicaceae	Comovirus	ssRNA(+)
NC_003502	Secoviridae	65743	Blackcurrant reversion virus	Viridiplantae	Chenopodium quinoa	Nepovirus	ssRNA(+)
NC_038765	Secoviridae	669377	Melon mild mottle virus	Viridiplantae	Cucumis melo	Nepovirus	ssRNA(+)
NC_002038	Bromoviridae	12313	Peanut stunt virus	Viridiplantae	Vigna unguiculata	Cucumovirus	ssRNA(+)
NC_034462	Phasmaviridae	1980539	Kigluaik phantom orthophasmavirus	Insecta	Chaoborus trivitattus	Orthophasmavirus	ssRNA(-)
NC_025482	Bromoviridae	1464778	Cassava Ivorian bacilliform virus	Viridiplantae	Manihot esculenta	Anulavirus	ssRNA(+)
AB426611	Picornaviridae	325446	Enterovirus B97	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
NC_031293	Phasmaviridae	1608097	Wuchang Cockroach Virus 1	Insecta	Blattella germanica	Orthophasmavirus	ssRNA(-)
NC_017938	Secoviridae	233784	Grapevine deformation virus	Viridiplantae	Vitis vinifera	Nepovirus	ssRNA(+)
NC_043031	Phasmaviridae	1664810	Ferak virus	Insecta	Aedes albopictus	Feravirus	ssRNA(-)
NC_022251	Bromoviridae	747056	Blueberry shock virus	Viridiplantae	Vaccinium	Ilarvirus	ssRNA(+)
EF555644	Picornaviridae	1295563	Enterovirus C99	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
NC_032270	Secoviridae	1927714	Soybean latent spherical virus	Viridiplantae	Glycine max	Nepovirus	ssRNA(+)
NC_003671	Bromoviridae	33773	Olive latent virus 2	Viridiplantae	Nicotiana benthamiana	Oleavirus	ssRNA(+)
NC_010987	Secoviridae	470166	Tomato marchitez virus	Viridiplantae	Solanum lycopersicum	Torradovirus	ssRNA(+)
NC_043624	Phasmaviridae	1892235	Seattle Prectang virus	Insecta	Pasiphila rectangulata	Orthophasmavirus	ssRNA(-)
NC_005848	Bromoviridae	64958	Parietaria mottle virus	Viridiplantae	Capsicum annuum	Ilarvirus	ssRNA(+)
NC_027567	Reoviridae	1670669	Lutzomyia reovirus 1	Insecta	Lutzomyia longipalpis	unclassified Reoviralesvirus	dsRNA
NC_003568	Bromoviridae	56486	Elm mottle virus	Viridiplantae	Chenopodium quinoa	Ilarvirus	ssRNA(+)
AB073912	Hepeviridae	63421	Swine hepatitis E virus	Mammalia	Sus scrofa	Paslahepevirus	ssRNA(+)
AB090161	Picornaviridae	204729	Theiler's-like virus of rats	Mammalia	Mesocricetus auratus	Cardiovirus	ssRNA(+)
AB194796	Potyviridae	300942	Turnip mosaic virus (isolate UK1)	Viridiplantae	Brassica rapa subsp. rapa	Potyvirus	ssRNA(+)
AB205396	Picornaviridae	42776	Coxsackievirus A18	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AB252582	Picornaviridae	411152	Human parechovirus 6	Mammalia	Homo sapiens	Parechovirus	ssRNA(+)
AB593690	Hepeviridae	509628	Hepatitis E virus type 3	Mammalia	Homo sapiens	Paslahepevirus	ssRNA(+)
AB678778	Picornaviridae	86107	Coxsackievirus A6	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AF039205	Picornaviridae	74561	Coxsackievirus B6	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AF081485	Picornaviridae	82639	Coxsackievirus B2	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AF083069	Picornaviridae	40280	Echovirus E5	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AF123432	Picornaviridae	106607	Bovine enterovirus strain K2577	Mammalia	Bos taurus	Enterovirus	ssRNA(+)
AF201929	Coronaviridae	76344	Murine hepatitis virus strain 2	Mammalia	Mus musculus	Betacoronavirus	ssRNA(+)
AF260508	Astroviridae	43358	Human astrovirus 8	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
AF274010	Picornaviridae	12116	Foot and mouth disease virus C	Mammalia	Cricetulus griseus	Aphthovirus	ssRNA(+)
AF316321	Picornaviridae	150846	Enterovirus 5865/sin/000009	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AF327920	Picornaviridae	1001061	Ljunganvirus 1	Mammalia	Chlorocebus aethiops	Parechovirus	ssRNA(+)
AF327922	Picornaviridae	172317	Ljungan virus 145SL	Mammalia	Chlorocebus aethiops	Parechovirus	ssRNA(+)
AF338106	Paramyxoviridae	11168	Mumps virus strain Jeryl Lynn	Mammalia	Homo sapiens	Orthorubulavirus	ssRNA(-)
AF361253	Picornaviridae	168014	Equine rhinitis B virus 2	Mammalia	Equus caballus	Erbovirus	ssRNA(+)
AF457102	Paramyxoviridae	188538	Human parainfluenza virus 1 strain Washington/1964	Mammalia	Homo sapiens	Respirovirus	ssRNA(-)
AF524867	Picornaviridae	12060	Echovirus E9	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AJ005695	Picornaviridae	39085	Human parechovirus 2	Mammalia	Homo sapiens	Parechovirus	ssRNA(+)
AJ132961	Picornaviridae	12080	Human poliovirus 1	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AJ577589	Picornaviridae	12078	Echovirus E11	Mammalia	Chlorocebus aethiops	Enterovirus	ssRNA(+)
AJ889866	Potyviridae	122280	Potato virus Y strain NTN	Viridiplantae	Solanum tuberosum	Potyvirus	ssRNA(+)
AJ889918	Picornaviridae	195055	Human parechovirus 3	Mammalia	Homo sapiens	Parechovirus	ssRNA(+)
AM157175	Potyviridae	31738	Plum pox virus strain El Amar	Viridiplantae	Prunus domestica	Potyvirus	ssRNA(+)
AY010722	Potyviridae	12207	Papaya ringspot virus W	Viridiplantae	Citrullus lanatus	Potyvirus	ssRNA(+)
AY278488	Coronaviridae	228407	SARS coronavirus BJ01	Mammalia	Chlorocebus aethiops	Betacoronavirus	ssRNA(+)
AY302539	Picornaviridae	47501	Echovirus E13	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302540	Picornaviridae	47502	Echovirus E14	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302541	Picornaviridae	47503	Echovirus E15	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302542	Picornaviridae	47504	Echovirus E16	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302543	Picornaviridae	47505	Echovirus E17	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302544	Picornaviridae	47507	Echovirus E19	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302545	Picornaviridae	35294	Echovirus E2	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302546	Picornaviridae	47508	Echovirus E20	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302547	Picornaviridae	47509	Echovirus E21	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302548	Picornaviridae	47510	Echovirus E24	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302549	Picornaviridae	45101	Echovirus E25	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302550	Picornaviridae	47511	Echovirus E26	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302551	Picornaviridae	45999	Echovirus E27	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302552	Picornaviridae	47512	Echovirus E29	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302553	Picornaviridae	47516	Echovirus E3	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302554	Picornaviridae	47513	Echovirus E31	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302555	Picornaviridae	47514	Echovirus E32	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302556	Picornaviridae	47515	Echovirus E33	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302557	Picornaviridae	35295	Echovirus E4	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302559	Picornaviridae	46018	Echovirus E7	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY302560	Picornaviridae	171720	Enterovirus B69	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
AY429470	Picornaviridae	12075	Swine vesicular disease virus	Mammalia	Sus scrofa	Enterovirus	ssRNA(+)
AY486084	Paramyxoviridae	70149	Measles virus strain Edmonston-Zagreb	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
AY508697	Picornaviridae	269638	Bovine enterovirus type 2	Mammalia	Bos taurus	Enterovirus	ssRNA(+)
AY518894	Coronaviridae	270642	Human group 1 coronavirus associated with pneumonia	Mammalia	Homo sapiens	Alphacoronavirus	ssRNA(+)
AY556057	Picornaviridae	222889	Enterovirus B74	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
AY556070	Picornaviridae	282345	Enterovirus B75	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
AY575773	Potyviridae	29276	Bean common mosaic virus strain Blackeye	Viridiplantae	Vigna unguiculata subsp. sesquipedalis	Potyvirus	ssRNA(+)
AY593765	Picornaviridae	12111	Foot-and-mouth disease virus A	Mammalia	Bos taurus	Aphthovirus	ssRNA(+)
AY593796	Picornaviridae	110195	Foot-and-mouth disease virus Asia 1	Mammalia	Bos taurus	Aphthovirus	ssRNA(+)
AY593806	Picornaviridae	46290	Foot-and-mouth disease virus C3	Mammalia	Cricetinae	Aphthovirus	ssRNA(+)
AY593809	Picornaviridae	46292	Foot-and-mouth disease virus C5	Mammalia	Cricetinae	Aphthovirus	ssRNA(+)
AY593840	Picornaviridae	12122	Foot-and-mouth disease virus SAT 1	Mammalia	Sus scrofa	Aphthovirus	ssRNA(+)
AY593847	Picornaviridae	35292	Foot-and-mouth disease virus SAT 2	Mammalia	Sus scrofa	Aphthovirus	ssRNA(+)
AY593851	Picornaviridae	12123	Foot-and-mouth disease virus SAT 3	Mammalia	Ovis aries	Aphthovirus	ssRNA(+)
AY686687	Picornaviridae	290057	Foot-and-mouth disease virus O/ES/2001	Mammalia	Sus scrofa	Aphthovirus	ssRNA(+)
AY751783	Picornaviridae	185907	rhinovirus A39	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY773285	Picornaviridae	297248	Enterovirus A90	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY843297	Picornaviridae	2760813	enterovirus B79	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
AY843298	Picornaviridae	318563	Enterovirus B80	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
AY843299	Picornaviridae	318564	Enterovirus B81	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
AY843300	Picornaviridae	318565	Enterovirus B82	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
AY843301	Picornaviridae	318566	Enterovirus B83	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
AY843302	Picornaviridae	222887	Enterovirus B77	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY843303	Picornaviridae	318568	Enterovirus B85	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY843304	Picornaviridae	318569	Enterovirus B86	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY843305	Picornaviridae	318570	Enterovirus B87	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY843306	Picornaviridae	318571	Enterovirus B88	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
AY843308	Picornaviridae	408681	Enterovirus B101	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
